name,id,registered_id,manual_id,craftable,price,season,seller,link
Egg,176,176,,FALSE,,,,
Milk,184,184,,FALSE,,,,
Leek,20,20,,FALSE,,,,
Dandelion,22,22,,FALSE,,,,
Vinegar,419,419,,FALSE,,,,
Cauliflower,190,190,,FALSE,,,,
Cheese,424,424,,FALSE,,,,
Sunfish,145,145,,FALSE,,,,
Bream,132,132,,FALSE,,,,
Wheat Flour,246,246,,FALSE,,,,
Parsnip,24,24,,FALSE,,,,
Tomato,256,256,,FALSE,,,,
Beet,284,284,,FALSE,,,,
Fried Egg,194,194,,FALSE,,,,
Hashbrowns,210,210,,FALSE,,,,
Pancakes,211,211,,FALSE,,,,
Squid,151,151,,FALSE,,,,
Oil,247,247,,FALSE,,,,
Periwinkle,722,722,,FALSE,,,,
Void Mayonnaise,308,308,,FALSE,,,,
Sea Cucumber,154,154,,FALSE,,,,
Tortilla,229,229,,FALSE,,,,
Blue Jazz,597,597,,FALSE,,,,
Common Mushroom,404,404,,FALSE,,,,
Morel,257,257,,FALSE,,,,
Green Bean,188,188,,FALSE,,,,
Yam,280,280,,FALSE,,,,
Sugar,245,245,,FALSE,,,,
Carp,142,142,,FALSE,,,,
Potato,192,192,,FALSE,,,,
Salmon,139,139,,FALSE,,,,
Amaranth,300,300,,FALSE,,,,
Kale,250,250,,FALSE,,,,
Tuna,130,130,,FALSE,,,,
Red Cabbage,266,266,,FALSE,,,,
Mayonnaise,306,306,,FALSE,,,,
Largemouth Bass,136,136,,FALSE,,,,
Hot Pepper,260,260,,FALSE,,,,
Coconut,88,88,,FALSE,,,,
Shrimp,720,720,,FALSE,,,,
Rainbow Trout,138,138,,FALSE,,,,
Green Algae,153,153,,FALSE,,,,
Melon,254,254,,FALSE,,,,
Rhubarb,252,252,,FALSE,,,,
Eel,148,148,,FALSE,,,,
Any Fish,130,,130,FALSE,,,,
Seaweed,152,152,,FALSE,,,,
Rice,423,423,,FALSE,,,,
Corn,270,270,,FALSE,,,,
Radish,264,264,,FALSE,,,,
Eggplant,272,272,,FALSE,,,,
Blueberry,258,258,,FALSE,,,,
Pumpkin,276,276,,FALSE,,,,
Bok Choy,278,278,,FALSE,,,,
Cranberries,282,282,,FALSE,,,,
Artichoke,274,274,,FALSE,,,,
Bread,216,216,,FALSE,,,,
Hazelnut,408,408,,FALSE,,,,
Omelet,195,195,,FALSE,,,,
Cave Carrot,78,78,,FALSE,,,,
Sardine,131,131,,FALSE,,,,
Winter Root,412,412,,FALSE,,,,
Coffee,395,395,,FALSE,,,,
Flounder,267,267,,FALSE,,,,
Midnight Carp,269,269,,FALSE,,,,
Squid Ink,814,814,,FALSE,,,,
White Algae,157,157,,FALSE,,,,
Wild Plum,406,406,,FALSE,,,,
Apricot,634,634,,FALSE,,,,
Blackberry,410,410,,FALSE,,,,
Apple,613,613,,FALSE,,,,
Fiddlehead Fern,259,259,,FALSE,,,,
Garlic,248,248,,FALSE,,,,
Poppy,376,376,,FALSE,,,,
Clam,372,372,,FALSE,,,,
Crayfish,716,716,,FALSE,,,,
Mussel,719,719,,FALSE,,,,
Snail,721,721,,FALSE,,,,
Lobster,715,715,,FALSE,,,,
Maple Syrup,724,724,,FALSE,,,,
Crab,717,717,,FALSE,,,,
Wild Horseradish,16,16,,FALSE,,,,
Ginger,829,,829,FALSE,,,,
Banana,91,,91,FALSE,,,,
Mango,834,,834,FALSE,,,,
Taro Root,830,,830,FALSE,,,,
Pineapple,832,,832,FALSE,,,,